version,hilos,n_solicitado,repeticion,bloques_generados,bloques_dibujados_prom,frames_medidos,fase_predominante,gen_ms_prom,update_ms_prom,build_ms_prom,cpu_ms_prom,cpu_ms_desv,frame_ms_prom,frame_ms_p95,fps_prom,fps_min,frames_bajo_60fps
paralelo,2,2000000,4,1918719,309131.0,300,sostenido,74.0679,2.1275,6.1097,8.2386,0.7231,12.8498,14.5983,77.8220,61.2392,0
paralelo,2,2000000,5,1918719,309131.0,300,sostenido,72.3849,2.1940,6.2488,8.4442,0.9535,13.1289,14.9243,76.1676,56.0475,3
paralelo,2,2000000,6,1918719,309131.0,300,sostenido,73.7214,2.3012,6.5436,8.8463,1.0702,13.6586,15.8086,73.2141,46.9863,7
paralelo,2,2000000,7,1918719,309131.0,300,sostenido,76.2093,2.2988,6.4324,8.7327,0.9615,13.5900,15.6697,73.5837,53.2376,5
paralelo,2,2000000,8,1918719,309131.0,300,sostenido,71.9619,2.1600,6.1312,8.2926,0.8092,12.9453,14.9142,77.2482,61.9276,0
paralelo,2,2000000,9,1918719,309131.0,300,sostenido,73.2356,2.1873,6.1154,8.3041,0.7713,12.9915,15.0583,76.9732,63.3188,0
paralelo,2,2000000,10,1918719,309131.0,300,sostenido,71.0414,2.1647,6.2398,8.4058,0.8924,13.0666,14.9662,76.5312,58.7206,2
paralelo,4,2000000,1,1918719,309131.0,300,sostenido,44.7060,1.5045,4.1746,5.6806,0.7293,9.7989,10.9170,102.0521,80.5958,0
paralelo,4,2000000,2,1918719,309131.0,300,sostenido,44.2030,1.5138,4.1354,5.6505,0.7690,9.7854,10.8758,102.1932,62.8864,0
paralelo,4,2000000,3,1918719,309131.0,300,sostenido,44.9428,1.5305,4.1484,5.6803,0.7080,9.7963,10.8961,102.0794,77.3521,0
paralelo,4,2000000,4,1918719,309131.0,300,sostenido,43.6452,1.5251,4.1271,5.6535,0.8367,9.7771,11.0542,102.2799,57.3283,1
paralelo,4,2000000,5,1918719,309131.0,300,sostenido,43.0438,1.5192,4.0906,5.6112,0.7989,9.6992,11.0102,103.1018,76.5058,0
paralelo,4,2000000,6,1918719,309131.0,300,sostenido,43.2132,1.5301,4.1556,5.6870,0.8045,9.8472,11.0792,101.5513,56.7885,1
paralelo,4,2000000,7,1918719,309131.0,300,sostenido,46.3849,1.5848,4.2629,5.8491,0.7677,9.9752,11.4032,100.2485,75.1993,0
paralelo,4,2000000,8,1918719,309131.0,300,sostenido,43.1869,1.7055,4.9055,6.6126,1.1097,10.9165,12.2606,91.6043,39.5021,1
paralelo,4,2000000,9,1918719,309131.0,300,sostenido,48.6202,1.7373,5.2108,6.9496,1.2171,11.3282,13.3988,88.2751,44.0742,3
paralelo,4,2000000,10,1918719,309131.0,300,sostenido,47.4948,1.5983,4.8559,6.4559,0.4301,10.7308,11.6478,93.1899,68.1872,0
paralelo,8,2000000,1,1918719,309131.0,300,sostenido,31.7823,1.2610,3.0753,4.3377,0.4651,8.4929,9.3856,117.7452,68.7521,0
paralelo,8,2000000,2,1918719,309131.0,300,sostenido,31.1473,1.2715,3.1219,4.3949,0.4920,8.4842,9.3729,117.8659,77.1266,0
paralelo,8,2000000,3,1918719,309131.0,300,sostenido,32.0736,1.2507,3.1194,4.3716,0.4820,8.4600,9.3499,118.2034,72.5426,0
paralelo,8,2000000,4,1918719,309131.0,300,sostenido,30.4502,1.2851,3.1685,4.4551,0.5514,8.5409,9.4960,117.0843,74.5929,0
paralelo,8,2000000,5,1918719,309131.0,300,sostenido,30.9246,1.2568,3.0887,4.3469,0.4126,8.3999,9.3319,119.0488,82.9387,0
paralelo,8,2000000,6,1918719,309131.0,300,sostenido,32.4407,1.3450,3.2670,4.6135,1.1140,8.6786,9.9490,115.2264,46.4796,2
paralelo,8,2000000,7,1918719,309131.0,300,sostenido,29.7842,1.3339,3.2763,4.6119,1.1157,8.7049,10.1620,114.8779,56.9369,2
paralelo,8,2000000,8,1918719,309131.0,300,sostenido,34.8525,1.3445,3.2417,4.5877,1.2533,8.6898,10.1933,115.0773,37.7629,1
paralelo,8,2000000,9,1918719,309131.0,300,sostenido,31.6799,1.3250,3.1685,4.4950,0.7230,8.6707,9.5917,115.3310,23.6146,1
paralelo,8,2000000,10,1918719,309131.0,300,sostenido,31.5885,1.3142,3.2275,4.5432,0.7600,8.6017,9.8573,116.2557,66.0066,0
paralelo,12,2000000,1,1918719,309131.0,300,sostenido,27.7041,1.3248,3.1739,4.5002,1.0048,8.6181,10.2734,116.0351,51.8850,1
paralelo,12,2000000,2,1918719,309131.0,300,sostenido,26.9723,1.3289,3.8804,5.2109,0.9927,9.2494,10.8393,108.1156,71.6317,0
paralelo,12,2000000,3,1918719,309131.0,300,sostenido,27.3017,1.1855,2.7000,3.8869,0.6090,7.8829,8.8484,126.8564,64.9895,0
paralelo,12,2000000,4,1918719,309131.0,300,sostenido,26.4307,1.2364,2.9231,4.1610,0.8008,8.2026,9.5173,121.9126,56.0340,1
paralelo,12,2000000,5,1918719,309131.0,300,sostenido,25.7688,1.3370,3.1176,4.4561,0.9331,8.5682,9.8743,116.7101,57.2436,1
paralelo,12,2000000,6,1918719,309131.0,300,sostenido,25.8717,1.4533,3.2179,4.6728,2.3755,8.7966,10.0305,113.6806,21.0385,2
paralelo,12,2000000,7,1918719,309131.0,300,sostenido,26.5329,1.2157,2.8466,4.0638,0.6938,8.0939,9.2900,123.5498,73.0514,0
